StartLat,StartLong,EndLat,EndLong,Miles,County
40.706966477274925,-74.01889617681223,40.706873219171996,-74.0185030065663,0.021596943067681458,New York
40.706176139882814,-74.01792933407029,40.70684042727494,-74.01757604416724,0.04976852508166625,New York
40.706176139882814,-74.01792933407029,40.70684042727494,-74.01757604416724,0.04976852508166625,New York
40.70845711985858,-74.0173997318686,40.70879460988536,-74.01815006096638,0.04578346569833128,New York
40.70580024890869,-74.01699508060732,40.706176139882814,-74.01792933407029,0.05551141555235239,New York
40.70357766010189,-74.01159536551201,40.70344591137896,-74.01159534259605,0.009111200817903361,New York
40.70359930270419,-74.01439052052444,40.70442549398332,-74.0142536445972,0.05749188894939598,New York
40.70359930270419,-74.01439052052444,40.70442549398332,-74.0142536445972,0.05749188894939598,New York
40.707109909222325,-74.01396206481608,40.70796631993197,-74.01359073523909,0.062173297934268276,New York
40.70309992108654,-74.01299825749884,40.70320701459563,-74.01256908993989,0.023648439240505272,New York
40.70266351678611,-74.01287915473655,40.70240825964437,-74.01282500668809,0.01786417425748228,New York
40.70777151411065,-74.01296309970473,40.70796631993197,-74.01359073523909,0.035795620441644624,New York
40.70268553687424,-74.01231292320932,40.70296009699159,-74.01150509279131,0.04640054836037615,New York
40.70500208409314,-74.01263074268125,40.7049500472125,-74.01154871686809,0.0568078286485529,New York
40.711016047297946,-74.01079950184649,40.71153483835112,-74.01046412781942,0.039793344860594417,New York
40.711016047297946,-74.01079950184649,40.71153483835112,-74.01046412781942,0.039793344860594417,New York
40.711016047297946,-74.01079950184649,40.71153483835112,-74.01046412781942,0.039793344860594417,New York
40.73056973596857,-74.01051041418322,40.73129984540217,-74.01046001529777,0.05053477638585964,New York
40.73056973596857,-74.01051041418322,40.73129984540217,-74.01046001529777,0.05053477638585964,New York
40.72351298209079,-74.01034334593864,40.72416898980898,-74.01022439167535,0.04564902775624612,New York
40.71945074396243,-74.01029221044212,40.720114985307674,-74.01018408680419,0.04619107525527367,New York
40.71945074396243,-74.01029221044212,40.720114985307674,-74.01018408680419,0.04619107525527367,New York
40.70454670567889,-74.0100699008066,40.70477454908558,-74.00974533129346,0.0232080725092827,New York
40.70859514633611,-74.01101191774053,40.708798274566334,-74.01084603260638,0.016517590280921403,New York
40.71332986284501,-74.01099827126723,40.7138459188681,-74.01056188507378,0.042453295245448164,New York
40.725044581088206,-74.01006939029352,40.72456979949915,-74.00934054666247,0.05036211284930046,New York
40.70980568026936,-74.009987734673,40.71036549716677,-74.01123223799067,0.0759173459845157,New York
40.70980568026936,-74.009987734673,40.71032722282529,-74.00954415049303,0.04291275778204728,New York
40.72408945988043,-74.00942706547504,40.72416898980898,-74.01022439167535,0.04222354570704952,New York
40.72068596937567,-74.0093075342014,40.72139961678035,-74.00918136751518,0.049744175038125435,New York
40.72068596937567,-74.0093075342014,40.72139961678035,-74.00918136751518,0.049744175038125435,New York
40.74050859123859,-74.00930669470286,40.74076935188706,-74.009191254044,0.018979227949966676,New York
40.74050859123859,-74.00930669470286,40.74076935188706,-74.009191254044,0.018979227949966676,New York
40.74076935188706,-74.009191254044,40.74148025781564,-74.00899648245891,0.049968879816320554,New York
40.71552033695426,-74.00923827430911,40.7161873163866,-74.00920590080513,0.04611238673311258,New York
40.72591474929148,-74.00910622463176,40.72598604559839,-74.0099216103554,0.04309340774377939,New York
40.73383877511321,-74.01010319378648,40.73382229640152,-74.01021865633174,0.006031741244860857,New York
40.7241691246818,-74.00857203763353,40.72422126968074,-74.00864419959635,0.005244040364177432,New York
40.75175118727588,-74.00792592119431,40.75242366784052,-74.00766613231424,0.04842824329582639,New York
40.75175118727588,-74.00792592119431,40.75242366784052,-74.00766613231424,0.04842824329582639,New York
40.73201075377096,-74.01027250129641,40.73202172210589,-74.01039157309623,0.006230211179512843,New York
40.70601251312822,-74.0088113569478,40.705543138551604,-74.0090673742924,0.03501018216961813,New York
40.70601251312822,-74.0088113569478,40.705543138551604,-74.0090673742924,0.03501018216961813,New York
40.71379665899628,-74.00883042197182,40.7143621129967,-74.00838680770177,0.04553231784211256,New York
40.72819567153725,-74.00872409065579,40.72891480735555,-74.00859429619467,0.05016780941813521,New York
40.718641162092766,-74.00882024144545,40.71902817869174,-74.0087481430296,0.027030259588005794,New York
40.72422126968074,-74.00864419959635,40.725840697496494,-74.00835938946935,0.11277464770925177,New York
40.72422126968074,-74.00864419959635,40.72470154960758,-74.00931891839564,0.04846888665183222,New York
40.73339973987775,-74.0085551837933,40.73320476312377,-74.00980000472552,0.0668287227890987,New York
40.711686066016135,-74.0069508514408,40.71150217791076,-74.00676687147306,0.01602643199627965,New York
40.711686066016135,-74.0069508514408,40.71150217791076,-74.00676687147306,0.01602643199627965,New York
40.719777629102595,-74.00680739443905,40.71995317506271,-74.00858231798425,0.09397560055757478,New York
40.719777629102595,-74.00680739443905,40.72043637783742,-74.00669562742966,0.045912311219996414,New York
40.72101818410856,-74.00799081046976,40.72087546756062,-74.0078320597652,0.012977728236659644,New York
40.753142808443435,-74.00740634337683,40.75383175662578,-74.00713932685815,0.049459354633302706,New York
40.753142808443435,-74.00740634337683,40.75383175662578,-74.00713932685815,0.049459354633302706,New York
40.7257638989539,-74.00756926149802,40.72584075285961,-74.00755844667586,0.0053224013135829236,New York
40.71543262817685,-74.00754283723096,40.715998077315085,-74.00709559383127,0.04551672427159854,New York
40.72660105871238,-74.00743225670372,40.72732842635489,-74.00732049196499,0.050570127892797696,New York
40.70722030486344,-74.0074589505992,40.70672354454962,-74.00678081364836,0.04934581186549075,New York
